pitcher_name,pitch_type,pitches,avg_release_speed,avg_release_spin_rate,whiff_rate,weak_contact_rate,whiff_or_weak_rate,mean_pitcher_run_value,pitch_label,pitcher_total_pitches,usage_rate,in_arsenal,arsenal_size
Kyle Hendricks,CU,212,72.24669811320754,2822.646226415094,0.0330188679245283,0.04245283018867924,0.07547169811320754,-0.029367924528301885,curveball (CU),2573,0.08239409249902838,True,4
Kyle Hendricks,PO,2,84.55000000000001,2054.0,0.0,0.0,0.0,-0.0395,PO (PO),2573,0.000777302759424796,False,4
Logan Allen,FF,900,91.21866666666666,2232.5944444444444,0.09666666666666666,0.08555555555555555,0.18222222222222223,-0.004025555555555556,4-seam fastball (FF),2709,0.33222591362126247,True,5
Logan Allen,ST,636,78.07154088050315,2299.367924528302,0.1069182389937107,0.10220125786163523,0.20911949685534592,-0.010330188679245284,sweeper (ST),2709,0.23477297895902546,True,5
Logan Allen,CH,497,82.42696177062373,959.4064386317907,0.096579476861167,0.15694164989939638,0.2535211267605634,-0.011595573440643863,changeup (CH),2709,0.1834625322997416,True,5
Logan Allen,SI,366,88.9879781420765,1966.7431693989072,0.040983606557377046,0.10655737704918032,0.14754098360655737,0.007549180327868852,sinker (SI),2709,0.13510520487264674,True,5
Logan Allen,FC,306,85.6797385620915,2265.9901960784314,0.08823529411764706,0.09803921568627451,0.18627450980392157,-0.0001568627450980397,cutter (FC),2709,0.11295681063122924,True,5
Logan Allen,SL,4,83.375,2351.5,0.25,0.0,0.25,0.011,slider (SL),2709,0.0014765596160944998,False,5
Logan Gilbert,FF,791,95.41175726927939,2115.873548387097,0.10619469026548672,0.09608091024020228,0.202275600505689,0.009350189633375474,4-seam fastball (FF),2156,0.36688311688311687,True,4
Logan Gilbert,SL,760,87.47197368421052,1821.2093959731544,0.16578947368421051,0.09868421052631579,0.2644736842105263,-0.0017631578947368421,slider (SL),2156,0.3525046382189239,True,4
Logan Gilbert,FS,423,81.7517730496454,724.7266009852217,0.2907801418439716,0.07092198581560284,0.3617021276595745,0.008122931442080377,splitter (FS),2156,0.19619666048237477,True,4
Logan Gilbert,CU,161,82.08385093167702,2182.553459119497,0.16770186335403728,0.055900621118012424,0.2236024844720497,0.007124223602484471,curveball (CU),2156,0.07467532467532467,True,4
Logan Gilbert,SI,21,94.85714285714286,2155.6875,0.09523809523809523,0.0,0.09523809523809523,-0.0570952380952381,sinker (SI),2156,0.00974025974025974,False,4
Logan Webb,SI,1104,92.56576086956522,1960.6313405797102,0.05253623188405797,0.12318840579710146,0.17572463768115942,0.007301630434782608,sinker (SI),3282,0.33638025594149906,True,5
Logan Webb,ST,873,84.63825887743413,2543.6197021764033,0.1156930126002291,0.08705612829324169,0.2027491408934708,-0.002179839633447881,sweeper (ST),3282,0.2659963436928702,True,5
Logan Webb,CH,792,86.49330808080808,1501.9318181818182,0.18055555555555555,0.10353535353535354,0.2840909090909091,0.012750000000000001,changeup (CH),3282,0.2413162705667276,True,5
Logan Webb,FF,258,92.77209302325582,2117.84496124031,0.1821705426356589,0.06976744186046512,0.25193798449612403,9.689922480620174e-05,4-seam fastball (FF),3282,0.07861060329067641,True,5
Logan Webb,FC,255,91.0407843137255,2226.98431372549,0.09803921568627451,0.11372549019607843,0.21176470588235294,-0.01563921568627451,cutter (FC),3282,0.07769652650822668,True,5
Lucas Giolito,FF,1145,93.25886462882096,2231.1886462882094,0.07248908296943231,0.09781659388646288,0.1703056768558952,0.004109170305676855,4-seam fastball (FF),2368,0.48353040540540543,True,4
Lucas Giolito,SL,606,85.97838283828384,1966.4026402640263,0.14686468646864687,0.09075907590759076,0.2376237623762376,0.0018118811881188118,slider (SL),2368,0.25591216216216217,True,4
