pitcher_name,feature,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andrew Heaney,prev_pitch_type_CU,0.01847775076539847,-0.004712855252758556,0.016159605929682512,,-0.018922957869232846,,,0.08381986418515884,-0.09482140775824832,,
Andrew Heaney,prev_pitch_type_FF,-0.021675555705457882,0.02803882803142841,-0.033877346259939295,,0.02599381827053914,,,-0.019669100533203445,0.021189356196633116,,
Andrew Heaney,prev_pitch_type_SI,0.014396058747893417,0.03631380514880566,0.032327311643583066,,-0.12855726722287708,,,0.047642378521386336,-0.0021222868387913503,,
Andrew Heaney,prev_pitch_type_SL,-0.03298911209861271,0.007769080980183159,-0.026307353878761434,,-0.031002737104457778,,,-0.034011721907283875,0.1165418440089325,,
Andrew Heaney,prev_pitch_type_START,-0.16320335200675398,-0.013609068368441286,0.31339396326144814,,-0.3379516662331722,,,-0.06651458650358781,0.2678847098505109,,
Andrew Heaney,stand_R,0.15969874301614806,0.05165066348595762,-0.026016008631247013,,0.07566870378935402,,,-0.16987587138442073,-0.09112623027579175,,
Antonio Senzatela,count_0-1,0.004356003919155568,,0.01432646838365538,-0.04197228018627602,0.2638128980151491,,,,-0.24651607104215195,,
Antonio Senzatela,count_0-2,-0.10596773025161998,,0.07622693196045889,-0.04990012859213593,0.322918352895962,,,,-0.23764624569554887,,
Antonio Senzatela,count_1-0,0.004542028291486492,,-0.10210868308166952,-0.03040052982044729,0.4484743869216242,,,,-0.3161421379088516,,
Antonio Senzatela,count_1-1,0.01698084898867509,,0.02244875535428221,-0.038276351139503256,0.27750100303598935,,,,-0.278678586448601,,
Antonio Senzatela,count_1-2,-0.05701612261379249,,0.10644968755686869,-0.0388234282389448,0.21967000103576376,,,,-0.23778210610298303,,
Antonio Senzatela,count_2-0,-0.018740323971945014,,-0.13403525464699068,-0.032934320768109815,0.5471632558926,,,,-0.35019346596432516,,
Antonio Senzatela,count_2-1,-0.01870263464434352,,-0.03854760041070304,-0.02548002524752095,0.37253260546875716,,,,-0.28915137228383025,,
Antonio Senzatela,count_2-2,-0.08991943060967894,,-0.027396136169948807,-0.021935364118022126,0.4153829620377474,,,,-0.2692827023011226,,
Antonio Senzatela,count_3-0,-0.12657239471773027,,-0.17397237743030702,-0.04491880405016336,0.834418515639692,,,,-0.4816891490453733,,
Antonio Senzatela,count_3-1,-0.08956314996889676,,-0.16456944757788258,0.001126210357775131,0.6703751492564931,,,,-0.41131037833161826,,
Antonio Senzatela,count_3-2,-0.08493213898738894,,-0.1379244322769267,-0.03846112748990588,0.5834364219848511,,,,-0.3153269548516705,,
Antonio Senzatela,intercept,0.23835194910609525,,0.09820970832701702,0.043409851048669054,0.3098542670727805,,,,0.301672861249736,,
