pitcher_name,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Chris Bassitt,0.19110592353964523,0.0,-0.2903920591645066,0.38225038764968344,0.30811182611258436,0.06190946295660288,0.0,0.3236809514498874,0.010080126528572785,0.01325338092752986,0.0
Chris Paddack,0.30772258015347825,0.0,0.2511273728778286,0.24816263525163623,-0.0030232551300071187,0.0,0.0,0.1619179463846926,0.034092720462373695,0.0,0.0
Clay Holmes,0.34191136147726087,0.0,0.0,0.2576834416543174,0.09287882606881143,0.0,0.0,0.011085448146542609,0.1012154112445278,0.19522551140853892,0.0
Colin Rea,0.0,0.0,0.12198220854750397,0.02653172118450562,0.5920627427296672,0.21906178519892244,0.0,0.04908807947099768,0.010992678730755531,-0.0238564894447124,0.0
Cristopher Sánchez,-0.34811441373281676,0.0,0.0,0.0,0.0,0.0,0.0,0.9869761349735161,0.36113827875930016,0.0,0.0
David Peterson,-0.07817401180173225,0.0,0.03105953094468375,0.0,0.228899164334834,0.0,0.0,0.5533902732318141,0.26482504329040013,0.0,0.0
Davis Martin,0.4434906910477867,0.0,0.19571527787429935,0.06288552389936464,-0.1313750821083447,0.0,0.0,0.07463786903792606,0.329079482256702,0.023099268161854872,0.0
Dean Kremer,0.0,0.0,0.48684221451055243,-0.7961493413242721,0.638033877781659,0.4286746168577059,0.0,0.24515547616439554,0.0,0.0,0.0
Drew Rasmussen,0.0,0.0,0.01660699438254424,0.5433828588851243,0.4898971316676339,0.0,0.0,0.01946981772523157,0.0,-0.04411243605660018,0.0
Dustin May,0.0,0.0,0.0,0.3458416035281677,0.3845929779111405,0.0,0.0,-0.3991878730930129,0.0,0.4603717682277594,0.0
Dylan Cease,0.1903438793450884,0.0,0.0,0.0,0.5332064389082307,0.0,0.08378482614089414,0.011123910484846039,0.19789956262954655,-0.01635861750860576,0.0
Eduardo Rodriguez,0.28255359469841657,0.0,0.11612556883725092,-0.201906980844874,0.39044869126279047,0.0,0.0,0.2352810213045386,0.17686651168678408,0.0,0.0
Edward Cabrera,0.2342920417356956,0.0,0.3199757797486935,0.0,0.20137406190085858,0.0,0.0,0.16007944387620454,0.08427867273854776,0.0,0.0
Erick Fedde,0.3345846829931589,0.0,0.0,-0.1560547505538909,0.0,0.0,0.0,0.6940175925922556,0.0,0.11342843579480516,0.0
Framber Valdez,-0.40700811278512844,0.0,0.30816959048523773,0.0,0.0,0.0,0.0,1.0299605209076315,0.06887685652495029,0.0,0.0
Freddy Peralta,0.22287455931545685,0.018943233187130742,0.07791039373362499,0.0,0.6940220630154926,0.0,0.0,0.0,-0.01592958640601451,0.002179337154308257,0.0
Garrett Crochet,-0.015495312816971772,0.0,0.0,0.17416131404600851,0.3755832811920587,0.0,0.0,0.3626946371801086,0.0,0.10099714424617495,0.0
Gavin Williams,0.0,0.0,0.1484262720354331,0.023836110176749678,0.5727830492590937,0.0,0.0,-0.0418326180032319,0.0,0.296415825260819,0.0
Germán Márquez,0.020103067305453592,0.0,0.0,0.0,0.48562620934424655,0.0,0.3511274282758572,0.14049202384149684,0.00265127123294584,0.0,0.0
Hunter Brown,0.24118182297078883,0.0,0.0,0.037670369774810475,0.3916392212781888,0.0,0.2290786789002729,0.09065425704252461,0.009775650033414865,0.0,0.0
JP Sears,0.004926145271463178,0.0,0.08749512322634992,0.0,0.28418734684618796,0.0,0.0,0.12337064942023629,0.115404005249573,0.3889155809753554,0.0
Jack Flaherty,0.03535120700184342,0.0,0.0,0.0,0.5012061206546365,0.0,0.2123395124811485,0.020330259860128083,0.23077290000224315,0.0,0.0
Jack Leiter,0.10294289672051889,0.0,0.11812752686355071,0.0,0.5407149588759008,0.0,0.0,0.1774807200859959,0.06068684293398435,0.0,0.0
Jacob deGrom,0.1284695859772311,0.0,0.047448733697599096,0.0,0.5540878036584911,0.0,0.0,0.0,0.26999387666667807,0.0,0.0
Jake Irvin,0.21900919467349925,0.0,0.563350453709216,0.10126904697665734,0.5264201757385495,0.0,0.0,-0.4586601725137511,0.04822308537751406,0.0,0.0
Jeffrey Springs,0.2130947657248853,0.0,0.0,0.07587726136749506,-0.11015069479035211,0.0,0.0,0.0,0.6048442004356223,0.2163344672623512,0.0
Jesús Luzardo,0.22568245889140368,0.0,0.0,0.0,0.5552344438908766,0.0,0.0,-0.5094529872250011,0.025356390261291835,0.7031796941814232,0.0
Joe Ryan,0.0,0.0,0.0,0.0,0.678904145047993,0.07752523872152503,0.04639783451393894,0.07499610119500479,0.06513944909741332,0.05773355489059766,0.0
