pitcher_name,pitch_type,pitches,avg_velocity,whiff_rate,weak_contact_rate,mean_pitcher_run_value,pitch_label,pitcher_total_pitches,usage_rate,in_arsenal,arsenal_size
Davis Martin,SI,196,92.9015306122449,0.04081632653061224,0.14795918367346939,0.030153061224489797,sinker (SI),1873,0.10464495461825948,True,7
Davis Martin,CU,94,78.72021276595744,0.10638297872340426,0.05319148936170213,-0.028531914893617026,curveball (CU),1873,0.05018686599038975,True,7
Davis Martin,ST,79,83.50126582278482,0.10126582278481013,0.08860759493670886,-0.01259493670886076,sweeper (ST),1873,0.04217832354511479,True,7
Davis Martin,FC,31,89.87096774193549,0.22580645161290322,0.06451612903225806,-0.006709677419354833,cutter (FC),1873,0.016550987720234916,True,7
Davis Martin,UN,1,82.4,0.0,0.0,-0.031,UN (UN),1873,0.0005339028296849973,False,7
Dean Kremer,FF,572,93.31188811188811,0.08041958041958042,0.08916083916083917,-0.00262937062937063,4-seam fastball (FF),2167,0.2639593908629442,True,5
Dean Kremer,FS,469,81.83987206823028,0.22174840085287847,0.13432835820895522,0.00222174840085288,splitter (FS),2167,0.21642824180895248,True,5
Dean Kremer,FC,434,86.89377880184333,0.12211981566820276,0.1175115207373272,-0.006792626728110599,cutter (FC),2167,0.20027688047992617,True,5
Dean Kremer,SI,415,92.80867469879517,0.04096385542168675,0.1108433734939759,0.0035108433734939754,sinker (SI),2167,0.1915089986155976,True,5
Dean Kremer,CU,274,78.25985401459855,0.10583941605839416,0.12043795620437957,0.0017043795620437956,curveball (CU),2167,0.12644208583294878,True,5
Dean Kremer,SL,2,83.45,0.0,0.5,0.08,slider (SL),2167,0.0009229349330872173,False,5
Dean Kremer,PO,1,91.1,0.0,0.0,-0.113,PO (PO),2167,0.00046146746654360867,False,5
Drew Rasmussen,FF,655,95.80167938931298,0.11297709923664122,0.09618320610687023,0.017027480916030534,4-seam fastball (FF),1837,0.356559608056614,True,5
Drew Rasmussen,FC,571,90.30052539404554,0.15761821366024517,0.1138353765323993,0.018520140105078808,cutter (FC),1837,0.31083287969515516,True,5
Drew Rasmussen,SI,426,95.37957746478872,0.07276995305164319,0.13380281690140844,0.008375586854460094,sinker (SI),1837,0.23189983669025585,True,5
Drew Rasmussen,ST,87,84.5551724137931,0.12643678160919541,0.06896551724137931,-0.020528735632183905,sweeper (ST),1837,0.04735982580293958,True,5
Drew Rasmussen,CU,70,80.53571428571429,0.02857142857142857,0.04285714285714286,-0.0459,curveball (CU),1837,0.03810560696788242,True,5
Drew Rasmussen,CH,25,89.33200000000001,0.04,0.04,-0.002320000000000001,changeup (CH),1837,0.013609145345672292,False,5
Drew Rasmussen,SL,3,84.76666666666667,0.0,0.3333333333333333,0.123,slider (SL),1837,0.001633097441480675,False,5
Dustin May,ST,684,85.17616959064327,0.1067251461988304,0.097953216374269,0.0022149122807017542,sweeper (ST),1743,0.3924268502581756,True,4
Dustin May,SI,599,94.53873121869782,0.05008347245409015,0.11185308848080133,-0.013202003338898163,sinker (SI),1743,0.34366035570854847,True,4
Dustin May,FF,289,95.35363321799308,0.1314878892733564,0.08650519031141868,-0.0002871972318339099,4-seam fastball (FF),1743,0.16580608146873207,True,4
Dustin May,FC,156,91.3724358974359,0.08333333333333333,0.09615384615384616,-0.0038397435897435882,cutter (FC),1743,0.08950086058519793,True,4
Dustin May,CH,15,89.56,0.06666666666666667,0.2,-0.058533333333333326,changeup (CH),1743,0.008605851979345954,False,4
Dylan Cease,FF,1061,97.10876531573986,0.1234684260131951,0.09613572101790764,-0.0035032987747408116,4-seam fastball (FF),2442,0.4344799344799345,True,5
Dylan Cease,SL,982,89.04297352342158,0.22912423625254583,0.07739307535641547,0.002861507128309572,slider (SL),2442,0.4021294021294021,True,5
Dylan Cease,KC,205,82.23560975609756,0.1024390243902439,0.04878048780487805,-0.01953658536585366,knuckle curve (KC),2442,0.08394758394758395,True,5
Dylan Cease,SI,90,95.72777777777777,0.07777777777777778,0.14444444444444443,-0.02531111111111111,sinker (SI),2442,0.036855036855036855,True,5
Dylan Cease,ST,77,84.56363636363636,0.11688311688311688,0.1038961038961039,0.03051948051948052,sweeper (ST),2442,0.03153153153153153,True,5
Dylan Cease,CH,27,77.94074074074075,0.25925925925925924,0.1111111111111111,0.008962962962962963,changeup (CH),2442,0.011056511056511056,False,5
Eduardo Rodriguez,FF,962,92.01081081081081,0.0945945945945946,0.09771309771309772,-0.007965696465696465,4-seam fastball (FF),2085,0.46139088729016786,True,6
Eduardo Rodriguez,CH,423,85.93026004728132,0.13711583924349882,0.15839243498817968,-0.02725295508274232,changeup (CH),2085,0.20287769784172663,True,6
Eduardo Rodriguez,FC,332,89.22951807228915,0.10843373493975904,0.10542168674698796,0.007051204819277107,cutter (FC),2085,0.1592326139088729,True,6
Eduardo Rodriguez,SI,190,91.5078947368421,0.06315789473684211,0.16842105263157894,-0.01355263157894737,sinker (SI),2085,0.09112709832134293,True,6
Eduardo Rodriguez,CU,101,79.57722772277228,0.09900990099009901,0.1188118811881188,-0.00692079207920792,curveball (CU),2085,0.04844124700239808,True,6
Eduardo Rodriguez,SL,76,84.60131578947369,0.10526315789473684,0.09210526315789473,-0.057460526315789476,slider (SL),2085,0.03645083932853717,True,6
Eduardo Rodriguez,PO,1,89.0,0.0,0.0,-0.029,PO (PO),2085,0.00047961630695443646,False,6
Edward Cabrera,CH,477,94.22285115303984,0.13626834381551362,0.11740041928721175,0.014129979035639414,changeup (CH),1824,0.26151315789473684,True,5
Edward Cabrera,CU,424,83.95919811320753,0.1792452830188679,0.07311320754716981,0.01264858490566038,curveball (CU),1824,0.2324561403508772,True,5
Edward Cabrera,SI,369,96.91300813008131,0.03523035230352303,0.11924119241192412,-0.018227642276422765,sinker (SI),1824,0.20230263157894737,True,5
Edward Cabrera,SL,316,88.47594936708862,0.2088607594936709,0.08860759493670886,0.012414556962025317,slider (SL),1824,0.17324561403508773,True,5
Edward Cabrera,FF,238,96.96806722689077,0.07983193277310924,0.0546218487394958,-0.014588235294117647,4-seam fastball (FF),1824,0.13048245614035087,True,5
