target_pitch_type,target_pitch_label,feature,mean_abs_shap
SI,sinker (SI),Previous pitch: ST,0.0017483560184236044
SI,sinker (SI),score diff batting team,0.0016181650693181822
SI,sinker (SI),Pitcher: Jeffrey Springs,0.0016162248433791223
SI,sinker (SI),Pitcher: Justin Verlander,0.00143249821008313
SI,sinker (SI),Count: 3-2,0.0014295921598507656
SI,sinker (SI),Previous pitch: CU,0.0014078143382339544
SI,sinker (SI),Previous result: swinging_strike,0.0014065513789858122
SI,sinker (SI),Pitcher: Robbie Ray,0.0012586183212473564
SI,sinker (SI),Pitcher: Brady Singer,0.0011830907272190713
SI,sinker (SI),Pitcher: Yusei Kikuchi,0.00118220384077019
SI,sinker (SI),Previous pitch: KC,0.0011069006878226336
SI,sinker (SI),Count: 3-1,0.0010315188297979475
SI,sinker (SI),Count: 1-1,0.0009903761782250932
SI,sinker (SI),Base state: ---,0.0009862394187049096
SI,sinker (SI),Previous pitch: FS,0.0008866957496033357
SI,sinker (SI),Pitcher: Kevin Gausman,0.000886088070993952
SI,sinker (SI),Pitcher: Clay Holmes,0.0008551928458301872
SI,sinker (SI),Pitcher: Mitchell Parker,0.00085208806593427
SI,sinker (SI),Count: 0-1,0.0008356044795147608
SI,sinker (SI),Previous pitch: SL,0.0008297458782345603
SI,sinker (SI),Pitcher: MacKenzie Gore,0.0007791257952885781
SI,sinker (SI),Base state: -2-,0.0007725108675460097
SI,sinker (SI),Pitcher: Chris Bassitt,0.0007557672475975938
SI,sinker (SI),Previous result: called_strike,0.0007116484501708185
SI,sinker (SI),Pitcher: Bryce Elder,0.0007000882074080321
SI,sinker (SI),Pitcher: Zac Gallen,0.0006131007545763096
SI,sinker (SI),Count: 2-0,0.0006015229882728417
SI,sinker (SI),Pitcher: Andrew Abbott,0.0005716980562736328
SI,sinker (SI),Pitcher: Shane Baz,0.0005633345537996233
SI,sinker (SI),Two pitches ago: CH,0.000563002143580017
SI,sinker (SI),Count: 2-2,0.0005348411441400559
SI,sinker (SI),Count: 1-0,0.0005142677250019488
SI,sinker (SI),Pitcher: Tyler Anderson,0.0005074522203750687
SI,sinker (SI),Two pitches ago: SL,0.0004559680883489323
SI,sinker (SI),Pitcher: Noah Cameron,0.00043759324451492866
SI,sinker (SI),Pitcher: Lucas Giolito,0.00042534888734010887
SI,sinker (SI),Pitcher: Matthew Boyd,0.00042070617212228373
SI,sinker (SI),Pitcher: Jacob deGrom,0.0004117801173541993
SI,sinker (SI),Pitcher: Erick Fedde,0.0003933377215400835
SI,sinker (SI),Two pitches ago: KC,0.00039333266112776514
SI,sinker (SI),Count: 2-1,0.00036898645076589945
SI,sinker (SI),Two pitches ago: CU,0.0003567965755742125
SI,sinker (SI),Pitcher: Sandy Alcantara,0.0003462759479579441
SI,sinker (SI),Pitcher: Kyle Freeland,0.0003355939559596293
SI,sinker (SI),Two pitches ago: FC,0.000312865490873155
SI,sinker (SI),Pitcher: Ryne Nelson,0.00030098070179557625
SI,sinker (SI),Pitcher: Nick Pivetta,0.0002588071363119757
SI,sinker (SI),Pitcher: Quinn Priester,0.00022740242230367638
SI,sinker (SI),Pitcher: Dylan Cease,0.0002096509899722532
SI,sinker (SI),Pitcher: Logan Gilbert,0.0002093594290738148
SI,sinker (SI),Pitcher: Logan Webb,0.0002077801669646408
SI,sinker (SI),Pitcher: Shota Imanaga,0.00020563931896752045
SI,sinker (SI),Base state: 12-,0.0002023916927489183
SI,sinker (SI),Pitcher: Paul Skenes,0.00020007967656290139
SI,sinker (SI),Pitcher: Carlos Rodón,0.00019734760023808228
SI,sinker (SI),Pitcher: Matthew Liberatore,0.00017639764343174637
SI,sinker (SI),Pitcher: Jose Quintana,0.00017331199785635402
SI,sinker (SI),Pitcher: Ryan Pepiot,0.00016604929392065193
SI,sinker (SI),Pitcher: Antonio Senzatela,0.0001510501577125967
SI,sinker (SI),Pitcher: Chris Paddack,0.00014384339955790775
SI,sinker (SI),Base state: --3,0.00012934001958771888
SI,sinker (SI),Pitcher: Bryan Woo,0.00011891014066512961
SI,sinker (SI),Pitcher: Jesús Luzardo,0.00011343011663671651
SI,sinker (SI),Two pitches ago: ST,0.00011247901745468423
SI,sinker (SI),Pitcher: Yoshinobu Yamamoto,0.000109909228473999
SI,sinker (SI),Base state: 1-3,0.00010932230545614442
SI,sinker (SI),Pitcher: Brayan Bello,0.00010784164491712723
SI,sinker (SI),Pitcher: Jack Flaherty,0.00010230407435109417
SI,sinker (SI),Pitcher: Spencer Strider,0.0001008259957545796
SI,sinker (SI),Pitcher: Ranger Suarez,9.931862165406801e-05
SI,sinker (SI),Pitcher: Dean Kremer,8.91898256547549e-05
SI,sinker (SI),Pitcher: Luis Severino,8.798742441100299e-05
SI,sinker (SI),Pitcher: Logan Allen,8.714995421818274e-05
SI,sinker (SI),Pitcher: José Berríos,8.038852807793532e-05
SI,sinker (SI),Pitcher: Andre Pallante,8.013972460768742e-05
SI,sinker (SI),Pitcher: Bailey Ober,6.991725609944924e-05
SI,sinker (SI),Pitcher: Sean Burke,6.776298325285212e-05
SI,sinker (SI),Pitcher: JP Sears,6.756930758926394e-05
SI,sinker (SI),Pitcher: Drew Rasmussen,6.741546299342107e-05
SI,sinker (SI),Pitcher: Patrick Corbin,6.591002776501155e-05
SI,sinker (SI),Pitcher: Gavin Williams,6.206230825355326e-05
SI,sinker (SI),Base state: -23,5.6706916303002314e-05
SI,sinker (SI),Pitcher: Casey Mize,4.826228312337059e-05
SI,sinker (SI),Count: 3-0,4.8101979160151376e-05
SI,sinker (SI),Pitcher: Miles Mikolas,4.79669002671055e-05
SI,sinker (SI),Pitcher: Garrett Crochet,4.5376269070003204e-05
SI,sinker (SI),Pitcher: Zack Wheeler,4.357391787462982e-05
SI,sinker (SI),Previous result: blocked_ball,3.97936661333567e-05
SI,sinker (SI),Two pitches ago: FS,3.8104080965646046e-05
SI,sinker (SI),Pitcher: Tanner Bibee,3.7595105995969816e-05
SI,sinker (SI),Pitcher: Zack Littell,3.1974707559074186e-05
SI,sinker (SI),Pitcher: Davis Martin,2.8830211160417897e-05
SI,sinker (SI),Pitcher: Charlie Morton,2.7616174427929434e-05
SI,sinker (SI),Pitcher: Andrew Heaney,2.5641940399779218e-05
SI,sinker (SI),Pitcher: Cal Quantrill,2.4309912127054185e-05
SI,sinker (SI),Pitcher: Eduardo Rodriguez,2.340194872152492e-05
SI,sinker (SI),Pitcher: Mitch Keller,1.7154203679441127e-05
SI,sinker (SI),Pitcher: Hunter Brown,1.679880355059814e-05
SI,sinker (SI),Pitcher: Michael Wacha,1.5841617216059637e-05
SI,sinker (SI),Previous pitch: SV,1.5154179267438888e-05
SI,sinker (SI),Pitcher: Nick Lodolo,8.71323480838149e-06
SI,sinker (SI),Pitcher: Max Fried,8.652509710076163e-06
SI,sinker (SI),Pitcher: Germán Márquez,7.628409951734338e-06
SI,sinker (SI),Pitcher: Will Warren,7.289871153030538e-06
SI,sinker (SI),Pitcher: Tarik Skubal,6.805375221707556e-06
SI,sinker (SI),Base state: 123,2.4893103142982665e-06
SI,sinker (SI),Previous result: infrequent_sklearn,0.0
SI,sinker (SI),Pitcher: Dustin May,0.0
SI,sinker (SI),Previous result: swinging_strike_blocked,0.0
SI,sinker (SI),Pitcher: Colin Rea,0.0
SI,sinker (SI),Pitcher: Brandon Pfaadt,0.0
SI,sinker (SI),Pitcher: David Peterson,0.0
SI,sinker (SI),Previous result: foul_tip,0.0
SI,sinker (SI),Pitcher: Brad Lord,0.0
SI,sinker (SI),Previous result: foul_bunt,0.0
SI,sinker (SI),Pitcher: Jake Irvin,0.0
SI,sinker (SI),Pitcher: Edward Cabrera,0.0
SI,sinker (SI),Two pitches ago: infrequent_sklearn,0.0
SI,sinker (SI),Pitcher: Walker Buehler,0.0
SI,sinker (SI),Pitcher: Tomoyuki Sugano,0.0
SI,sinker (SI),Pitcher: Taj Bradley,0.0
SI,sinker (SI),Pitcher: Taijuan Walker,0.0
SI,sinker (SI),Pitcher: Sonny Gray,0.0
SI,sinker (SI),Pitcher: Slade Cecconi,0.0
SI,sinker (SI),Pitcher: Shane Smith,0.0
SI,sinker (SI),Pitcher: Randy Vásquez,0.0
SI,sinker (SI),Pitcher: Nick Martinez,0.0
SI,sinker (SI),Previous pitch: infrequent_sklearn,0.0
