target_pitch_type,target_pitch_label,term,beta,std_error,p_value,n_obs,r_squared
FF,4-seam fastball (FF),C(pitcher_name)[T.Max Fried],-0.30203963637802717,0.01241816465700167,1.1359675638633571e-130,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Merrill Kelly],-0.22334270635882975,0.013589615237884262,1.0776688786840166e-60,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Michael Lorenzen],-0.2203351110408595,0.014114669728831693,6.188437895028618e-55,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Michael Wacha],-0.17807883809674768,0.01409394894598106,1.3517532839445178e-36,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Miles Mikolas],-0.16404524517258356,0.014442012912311331,6.698989877969067e-30,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Mitch Keller],-0.09571415600074093,0.014257204293520597,1.901555091897086e-11,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Mitchell Parker],0.11379149612854686,0.014801581439766861,1.496945885035701e-14,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Nick Lodolo],-0.15951313666483147,0.014589137030583631,7.954442284195568e-28,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Nick Martinez],-0.22449540953364105,0.013726397450734722,4.006225495127306e-60,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Nick Pivetta],0.026268254157588142,0.014681214790323612,0.0735757621382421,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Noah Cameron],-0.17813815503304997,0.014721919551954205,1.0535557350111687e-33,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Patrick Corbin],-0.3928355650805837,0.011016182024579551,1.657091238401017e-278,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Paul Skenes],-0.05455652286063855,0.014383116609861895,0.0001487814045012396,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Quinn Priester],-0.41763750903258323,0.0104928119324569,0.0,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Randy Vásquez],-0.22713595124568026,0.014148583359926938,5.392680224022755e-58,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Ranger Suarez],-0.27825455530398224,0.013129738394174965,1.1152499747620008e-99,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Robbie Ray],0.07231967253935775,0.014400452190370904,5.112505849977949e-07,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Ryan Pepiot],0.002210606507664036,0.014756380436296896,0.8809170242348249,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Ryne Nelson],0.17586046019988616,0.01500738467378741,1.0275895014945581e-31,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Sandy Alcantara],-0.26386410700529717,0.013020036189936841,2.566712112560259e-91,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Sean Burke],-0.010085940816174895,0.0153802215206091,0.5119699062859862,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Seth Lugo],-0.2430357998587199,0.013896803564336946,1.7496821881758501e-68,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Shane Baz],-0.01136826866179801,0.014801700897731902,0.44246461303175844,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Shane Smith],-0.006682429443642352,0.015250393753345828,0.661255239478252,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Shota Imanaga],0.04453236624394824,0.01596973098926786,0.005294485150911794,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Slade Cecconi],-0.029628291049224688,0.015875778486877927,0.06200534446401689,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Sonny Gray],-0.22458951582569056,0.013487805776094756,2.9609387782991416e-62,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Spencer Strider],0.057205717368273165,0.015864698066892637,0.00031113314234088697,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Taijuan Walker],-0.3403663538900539,0.012697397506898769,2.7510967281832963e-158,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Taj Bradley],-0.05759386163911326,0.015237450545236692,0.00015698143547144907,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Tanner Bibee],-0.1688222443002847,0.013851852295493397,3.614722585901628e-34,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Tarik Skubal],-0.13313621437419215,0.014180545564069908,6.0772751267829995e-21,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Tomoyuki Sugano],-0.25067365479863235,0.013576529155608617,4.0426576038008035e-76,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Tyler Anderson],-0.0701267063243755,0.015245522613070698,4.228499714233201e-06,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Walker Buehler],-0.18297516121827812,0.014612337362964163,5.661668575846349e-36,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Will Warren],-0.03676024430314219,0.014608768963790689,0.011858960474514336,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Yoshinobu Yamamoto],-0.09574244188117023,0.014471597443115445,3.6933240557845395e-11,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Yusei Kikuchi],-0.09000766562554394,0.014219076744665118,2.4505955295047724e-10,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Zac Gallen],-0.004972256980407038,0.014249304526799622,0.727128840426547,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Zack Littell],-0.1943234684301978,0.013764524532443931,2.954662058518792e-45,209296,0.11756878241399715
FF,4-seam fastball (FF),C(pitcher_name)[T.Zack Wheeler],-0.037807058582001535,0.015243945355285062,0.013133225742132198,209296,0.11756878241399715
SI,sinker (SI),Intercept,0.12139536669915178,0.007148838021340361,1.1327863818474525e-64,209296,0.15725504350308828
